Country,Region,University_Name,Degree_Level,Field_of_Study,Graduation_Year,Employment_Rate_6_Months (%),Employment_Rate_12_Months (%),Average_Starting_Salary_USD,Top_Industry,Job_Role,Skill_1,Skill_2,Skill_3,Skill_Demand_Score (1–100),Remote_Work_Availability (%),Employer_Reputation_Score (1–100),Year
Mexico,Latin America,UNAM,Bachelor,Business & Finance,-0.6319737072621808,-1.350680897815708,-1.203879218603487,-1.6505973897201085,Finance/Consulting,Investment Banker,Excel,Strategic Planning,Data Analysis,-0.6246326612230748,-0.8365930114328891,0.15853618952783544,-0.6319737072621808
USA,North America,Georgia Tech,Master,Business & Finance,-0.6319737072621808,0.8967593228398458,0.9481843795115837,0.6520838713877114,Finance/Consulting,Financial Analyst,Market Research,Data Analysis,Financial Modeling,0.12323266584149747,-1.0576094711791266,0.7202943908413499,-0.6319737072621808
Argentina,Latin America,University of Buenos Aires,PhD,Natural Sciences,-0.0066109774296642075,-0.24843314628400318,-0.9070428602427876,-1.1671976356152043,Research/Academia,Physicist,Statistical Analysis,Laboratory Skills,Experimental Design,-0.35268163319959395,0.40373816565047305,0.509635065348782,-0.0066109774296642075
USA,North America,UC Berkeley,PhD,Business & Finance,0.3060703874865941,-1.622664109232621,-1.8569192069970244,1.9095764749714146,Finance/Consulting,Investment Banker,Financial Modeling,Data Analysis,Strategic Planning,0.055244908835627264,0.4631157220002086,1.2820525921548644,0.3060703874865941
UAE,Middle East & Africa,Khalifa University,Master,Natural Sciences,-1.5700178020109556,-0.34863748733234035,-0.31337014352138876,-0.32124806593162236,Research/Academia,Biologist,Scientific Writing,Statistical Analysis,Laboratory Skills,-1.712436773316998,-1.1565720650953522,0.4394152901845927,-1.5700178020109556
Argentina,Latin America,University of Buenos Aires,Master,Natural Sciences,-1.2573364370946973,-1.0786976863987932,-1.560082848636325,-1.5330136657486453,Research/Academia,Physicist,Laboratory Skills,Experimental Design,Statistical Analysis,-0.4886571472113344,-1.0345181992653405,0.5798548405129713,-1.2573364370946973
France,Europe,Ecole Polytechnique,PhD,Data Science & AI,-0.9446550721784391,-0.49178654597282145,-0.6695737735542268,1.1648795564854812,Technology/Consulting,AI Consultant,Deep Learning,Data Visualization,NLP,0.3951836938649783,-0.7508254300388268,-1.737397739905276,-0.9446550721784391
Canada,North America,UBC,PhD,Computer Science,0.6187517524028524,1.140112722528664,1.2004952841181786,1.8115900383285286,Technology,AI Researcher,React,DevOps,Java,1.1430490209295505,0.5125970189583214,1.0713932666622965,0.6187517524028524
Japan,Asia-Pacific,Kyoto University,Master,Natural Sciences,0.6187517524028524,-0.3915822049244843,-0.47663014061977255,-0.4486304335673741,Research/Academia,Physicist,Scientific Writing,Experimental Design,Statistical Analysis,-0.6246326612230748,1.5121192175122014,0.4394152901845927,0.6187517524028524
Germany,Europe,Humboldt University,Master,Computer Science,-0.6319737072621808,1.598189710178204,1.2895461916263877,0.49203935820433103,Technology,AI Researcher,Cloud Computing,Cybersecurity,SQL,1.8909143479941228,-1.1565720650953522,-0.824540662770815,-0.6319737072621808
Singapore,Asia-Pacific,NUS,PhD,Social Sciences,-0.3192923423459225,0.023550065132911774,0.13188439401966037,0.42671506710907375,Government/NGO,Sociologist,Data Analysis,Communication,Qualitative Research,-0.6246326612230748,-0.9949331616988503,-1.0351999882633829,-0.3192923423459225
Sweden,Europe,KTH Royal Institute of Technology,Bachelor,Healthcare & Medicine,-0.3192923423459225,1.1257978166646148,1.4231225528887033,-0.3343129241506738,Healthcare,Medical Doctor,Diagnostics,Patient Care,Clinical Research,0.5311592078767187,-1.1235845337899437,0.7202943908413499,-0.3192923423459225
Switzerland,Europe,EPFL,Bachelor,Healthcare & Medicine,-1.5700178020109556,1.4693555574017703,1.4231225528887033,0.5377663619710111,Healthcare,Pharmacist,Medical Coding,Patient Care,Diagnostics,-0.8965836892465556,-1.0477132117875039,1.0011734914981072,-1.5700178020109556
Saudi Arabia,Middle East & Africa,King Abdulaziz University,PhD,Engineering,1.244114482235369,-0.8782890043021209,-1.2632464902756255,1.0897566217259353,Manufacturing/Construction,Electrical Engineer,Lean Six Sigma,MATLAB,SolidWorks,-0.01274284817024294,1.6473680958643764,1.2118328169906751,1.244114482235369
Mexico,Latin America,UNAM,PhD,Business & Finance,-0.9446550721784391,-1.2218467450392743,-0.8476755885706468,-1.2423205703747502,Finance/Consulting,Investment Banker,Data Analysis,Market Research,Financial Modeling,-1.5764612593052576,-0.909165580304788,-0.6841011124424363,-0.9446550721784391
India,Asia-Pacific,IIT Delhi,Bachelor,Engineering,-0.9446550721784391,-1.3793107095438049,-1.040619221505101,-1.2194570684914103,Manufacturing/Construction,Civil Engineer,MATLAB,AutoCAD,Lean Six Sigma,-0.692620418228945,-0.9487506178712782,-2.0884966157262226,-0.9446550721784391
South Korea,Asia-Pacific,KAIST,PhD,Social Sciences,-1.5700178020109556,-0.5490461694290127,-0.4469465047837022,-0.8830369693508351,Government/NGO,Sociologist,Qualitative Research,Communication,Public Policy,-1.8484122873287385,-1.1565720650953522,0.5798548405129713,-1.5700178020109556
Canada,North America,UBC,Bachelor,Data Science & AI,0.9314331173191107,0.5102568645105463,0.8146080182492703,0.4953055727590939,Technology/Consulting,Machine Learning Engineer,Machine Learning,R,NLP,0.5991469648825889,0.8688623570567342,1.7033712431400003,0.9314331173191107
Argentina,Latin America,University of Buenos Aires,Bachelor,Data Science & AI,-0.9446550721784391,0.6963506407431714,1.4231225528887033,-1.4807542328724395,Technology/Consulting,NLP Specialist,NLP,Deep Learning,Big Data,-0.35268163319959395,-0.8596842833466751,1.7033712431400003,-0.9446550721784391
UK,Europe,Imperial College London,PhD,Data Science & AI,-1.2573364370946973,1.6554493336343954,1.4231225528887033,0.9133810357687406,Technology/Consulting,Data Analyst,NLP,Deep Learning,Machine Learning,-0.01274284817024294,-0.9289580990880332,0.7905141660055393,-1.2573364370946973
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Engineering,-0.6319737072621808,0.2955332765498247,0.3396698448721508,-1.0659449844175555,Manufacturing/Construction,Mechanical Engineer,Lean Six Sigma,SolidWorks,Project Management,0.12323266584149747,-1.0477132117875039,0.9309537163339179,-0.6319737072621808
UAE,Middle East & Africa,Khalifa University,PhD,Computer Science,-0.6319737072621808,1.3548363104893857,1.4231225528887033,1.1256849818283268,Technology,Software Engineer,DevOps,Python,SQL,-0.4206693902054642,-1.1565720650953522,0.08831641436364612,-0.6319737072621808
Brazil,Latin America,University of São Paulo,PhD,Healthcare & Medicine,-0.6319737072621808,1.641134427770348,1.4231225528887033,-1.0136855515413496,Healthcare,Pharmacist,Diagnostics,Patient Care,Clinical Research,-0.4206693902054642,-1.1565720650953522,1.422492142483243,-0.6319737072621808
Canada,North America,UBC,Bachelor,Healthcare & Medicine,1.5567958471516272,0.7106655466072207,0.9481843795115837,0.7859986681329889,Healthcare,Pharmacist,Diagnostics,Clinical Research,Patient Care,0.4631714508708485,1.6473680958643764,-0.12234291112892182,1.5567958471516272
South Africa,Middle East & Africa,University of Cape Town,PhD,Engineering,-0.0066109774296642075,0.25258855895768073,1.0075516511837244,-0.6511357359626717,Manufacturing/Construction,Electrical Engineer,Lean Six Sigma,SolidWorks,MATLAB,-1.3724979882876471,-0.03499600071146084,-1.2458593137559508,-0.0066109774296642075
Japan,Asia-Pacific,University of Tokyo,Master,Data Science & AI,1.5567958471516272,0.36710780587006525,-0.0016919672426530979,0.8937837484401634,Technology/Consulting,NLP Specialist,Big Data,NLP,R,2.0948776190117333,1.6473680958643764,0.6500746156771606,1.5567958471516272
USA,North America,UC Berkeley,Bachelor,Data Science & AI,0.9314331173191107,0.8967593228398458,1.408280734970669,0.8807188902211119,Technology/Consulting,Data Analyst,Data Visualization,NLP,Deep Learning,0.8031102359001996,0.9513311853202556,-0.4734417869498684,0.9314331173191107
Canada,North America,UBC,Master,Computer Science,0.6187517524028524,0.5532015821026903,0.9481843795115837,0.514902860087671,Technology,Data Scientist,Cloud Computing,React,Cybersecurity,1.618963319970642,0.8688623570567342,0.15853618952783544,0.6187517524028524
UK,Europe,Cambridge,Bachelor,Data Science & AI,0.9314331173191107,0.03786497099695907,-0.0016919672426530979,0.34179348868523923,Technology/Consulting,Machine Learning Engineer,R,NLP,Data Visualization,1.4829878059589017,1.0799825574113489,0.29897573985621406,0.9314331173191107
Australia,Asia-Pacific,University of Melbourne,PhD,Social Sciences,-0.9446550721784391,-0.6635654163413992,0.2951443911180463,0.1980800482756732,Government/NGO,Human Resources Specialist,Communication,Public Policy,Data Analysis,-0.14871836218198337,-0.9223605928269514,-0.26278246145730044,-0.9446550721784391
Germany,Europe,Humboldt University,PhD,Engineering,-0.0066109774296642075,-0.49178654597282145,-0.3727374151935274,0.9297121085425549,Manufacturing/Construction,Robotics Engineer,Lean Six Sigma,SolidWorks,MATLAB,-1.6444490163111278,-0.5199127109009668,-0.6841011124424363,-0.0066109774296642075
India,Asia-Pacific,IIT Delhi,Master,Natural Sciences,-0.3192923423459225,-0.8067144749818803,-0.35789559727549325,-1.3566380797914506,Research/Academia,Biologist,Scientific Writing,Laboratory Skills,Statistical Analysis,-1.5084735022993876,-1.1169870275288618,1.5629316928116217,-0.3192923423459225
Singapore,Asia-Pacific,NTU,Master,Data Science & AI,0.3060703874865941,1.4264108398096262,1.4231225528887033,1.22040520391645,Technology/Consulting,Machine Learning Engineer,Big Data,Data Visualization,NLP,0.6671347218884591,0.2948793123426249,-0.33300223662148976,0.3060703874865941
Brazil,Latin America,University of São Paulo,Master,Social Sciences,-0.9446550721784391,-0.8639740984380716,-0.5805228660460178,-1.7224541099248913,Government/NGO,Economist,Data Analysis,Qualitative Research,Public Policy,-0.4206693902054642,-0.8893730615215428,-0.40322201178567907,-0.9446550721784391
Sweden,Europe,Karolinska Institute,Master,Natural Sciences,-0.0066109774296642075,0.26690346482172805,0.17640984777376487,-0.23959270206255073,Research/Academia,Environmental Scientist,Laboratory Skills,Statistical Analysis,Scientific Writing,-0.21670611918785357,0.05077158068260149,1.4927119176474324,-0.0066109774296642075
Australia,Asia-Pacific,ANU,PhD,Engineering,-0.6319737072621808,-1.3220510860876116,-1.6788173919806064,1.1583471273759556,Manufacturing/Construction,Mechanical Engineer,Lean Six Sigma,SolidWorks,Project Management,-0.28469387619372377,-1.001530667959932,-0.4734417869498684,-0.6319737072621808
USA,North America,Stanford,Master,Social Sciences,0.6187517524028524,-0.5061014518368687,-0.4617883227017384,0.40058535067097084,Government/NGO,Human Resources Specialist,Data Analysis,Public Policy,Qualitative Research,0.3951836938649783,0.5323895377415667,1.633151467975811,0.6187517524028524
France,Europe,Ecole Polytechnique,Bachelor,Computer Science,-1.5700178020109556,1.0828530990724707,1.4231225528887033,-0.621739804969806,Technology,Cloud Architect,React,Cloud Computing,SQL,-0.6246326612230748,-1.0477132117875039,1.2118328169906751,-1.5700178020109556
South Korea,Asia-Pacific,KAIST,Bachelor,Business & Finance,-0.9446550721784391,-0.9498635336223614,-1.1445119469313463,-0.4976236518888171,Finance/Consulting,Marketing Manager,Financial Modeling,Excel,Data Analysis,-0.14871836218198337,-0.7970079738663989,-1.2458593137559508,-0.9446550721784391
Germany,Europe,Humboldt University,Master,Healthcare & Medicine,-0.6319737072621808,0.954018946296039,1.2153371020362127,0.29933269947332203,Healthcare,Public Health Specialist,Clinical Research,Patient Care,Diagnostics,-0.8285959322406854,-0.8794768021299203,-0.7543208876066256,-0.6319737072621808
South Africa,Middle East & Africa,University of Cape Town,PhD,Computer Science,-0.9446550721784391,0.7392953583353173,0.8294498361673044,-0.9940882642127725,Technology,AI Researcher,SQL,Python,Cloud Computing,0.3951836938649783,-1.1565720650953522,-1.948057065397844,-0.9446550721784391
Argentina,Latin America,University of Buenos Aires,Bachelor,Data Science & AI,0.6187517524028524,1.2546319694410486,1.4231225528887033,-1.4774880183176766,Technology/Consulting,AI Consultant,Deep Learning,Data Visualization,R,2.0268898620058633,0.3872443999977688,-1.2458593137559508,0.6187517524028524
Sweden,Europe,Karolinska Institute,Master,Healthcare & Medicine,-1.5700178020109556,1.2403170635770013,1.4231225528887033,0.2144111210494875,Healthcare,Pharmacist,Patient Care,Clinical Research,Diagnostics,-2.3923143433757,-1.1334807931815662,-0.0521231359647325,-1.5700178020109556
Mexico,Latin America,UNAM,PhD,Computer Science,0.9314331173191107,1.5838748043141548,1.4231225528887033,-0.7197262416126918,Technology,Cybersecurity Analyst,Cloud Computing,Python,Cybersecurity,1.618963319970642,1.0140074948005315,0.7202943908413499,0.9314331173191107
Canada,North America,UBC,Master,Data Science & AI,1.244114482235369,0.8394996993836525,0.8294498361673044,1.1779444147045328,Technology/Consulting,Machine Learning Engineer,R,Machine Learning,Big Data,1.550975562964772,1.4758329330762516,0.29897573985621406,1.244114482235369
UAE,Middle East & Africa,Khalifa University,PhD,Natural Sciences,-1.2573364370946973,0.5675164879667396,0.710715292823025,0.34179348868523923,Research/Academia,Physicist,Experimental Design,Scientific Writing,Laboratory Skills,-1.3724979882876471,-0.8464892708245118,-1.4565186392485188,-1.2573364370946973
Mexico,Latin America,UNAM,Master,Social Sciences,-0.9446550721784391,-0.4058971107885316,-0.20947741809514353,-1.6799933207129742,Government/NGO,Sociologist,Communication,Public Policy,Data Analysis,-1.6444490163111278,-1.0543107180485856,-0.6841011124424363,-0.9446550721784391
Argentina,Latin America,University of Buenos Aires,Bachelor,Business & Finance,1.244114482235369,-0.14822880523566598,0.10220075818359001,-1.5166825929748309,Finance/Consulting,Marketing Manager,Excel,Financial Modeling,Market Research,0.12323266584149747,1.1360613606305434,-1.4565186392485188,1.244114482235369
USA,North America,Stanford,Master,Business & Finance,-0.9446550721784391,-0.21980333455590653,-0.3875792331115636,0.8611216028925348,Finance/Consulting,Management Consultant,Excel,Strategic Planning,Market Research,-0.28469387619372377,-1.0048294210904727,-0.33300223662148976,-0.9446550721784391
Israel,Middle East & Africa,Technion,PhD,Data Science & AI,1.244114482235369,0.5102568645105463,0.4732462061344643,2.347249225309638,Technology/Consulting,Data Analyst,Deep Learning,NLP,Big Data,1.618963319970642,1.1525551262832476,0.7202943908413499,1.244114482235369
India,Asia-Pacific,IIT Bombay,Bachelor,Healthcare & Medicine,1.244114482235369,0.0664947827250557,-0.3727374151935274,-0.9254977585627524,Healthcare,Medical Doctor,Clinical Research,Diagnostics,Patient Care,-1.2365224742759067,1.2680114858521778,-0.6841011124424363,1.244114482235369
Japan,Asia-Pacific,University of Tokyo,PhD,Engineering,-0.6319737072621808,-0.2913778638761471,-0.7289410452263675,0.34179348868523923,Manufacturing/Construction,Electrical Engineer,MATLAB,Project Management,SolidWorks,-1.9164000443346088,-0.9421531116101965,0.15853618952783544,-0.6319737072621808
Germany,Europe,Heidelberg University,Bachelor,Engineering,0.6187517524028524,-2.0091665675619206,-1.8866028428330948,-0.11547654898156184,Manufacturing/Construction,Robotics Engineer,AutoCAD,SolidWorks,Lean Six Sigma,0.7351224788943294,0.7501072443572631,-0.8947604379350043,0.6187517524028524
Netherlands,Europe,TU Delft,Master,Business & Finance,0.3060703874865941,-1.622664109232621,-1.3226137619477663,0.3613907760138165,Finance/Consulting,Investment Banker,Strategic Planning,Market Research,Data Analysis,-0.21670611918785357,-0.2560124604576984,-0.33300223662148976,0.3060703874865941
USA,North America,Georgia Tech,PhD,Social Sciences,0.9314331173191107,-0.6349356046133026,-0.6844155914722629,1.0603606907330696,Government/NGO,Policy Analyst,Public Policy,Data Analysis,Communication,-0.8285959322406854,1.1756463981970338,-0.6841011124424363,0.9314331173191107
Argentina,Latin America,University of Buenos Aires,PhD,Data Science & AI,0.3060703874865941,0.767925170063412,1.141128012446038,-1.346839436127162,Technology/Consulting,AI Consultant,Deep Learning,NLP,Machine Learning,0.8710979929060697,0.9018498883621427,0.4394152901845927,0.3060703874865941
Mexico,Latin America,UNAM,Master,Computer Science,-1.5700178020109556,0.6963506407431714,0.7552407465771296,-1.248852999484276,Technology,Software Engineer,DevOps,SQL,React,0.12323266584149747,-1.0411157055264222,0.509635065348782,-1.5700178020109556
Japan,Asia-Pacific,Kyoto University,Bachelor,Business & Finance,1.5567958471516272,-1.5940342975045265,-1.9311282965871992,-0.32124806593162236,Finance/Consulting,Investment Banker,Excel,Strategic Planning,Market Research,1.6869510769765121,1.6473680958643764,0.29897573985621406,1.5567958471516272
Mexico,Latin America,UNAM,Master,Social Sciences,1.5567958471516272,-0.19117352282780992,-0.1946356001771094,-1.513416378420068,Government/NGO,Economist,Communication,Public Policy,Data Analysis,0.4631714508708485,1.3240902890713724,0.15853618952783544,1.5567958471516272
Switzerland,Europe,ETH Zurich,Bachelor,Healthcare & Medicine,-0.9446550721784391,0.0664947827250557,0.32482802695411456,0.6782135878258143,Healthcare,Medical Doctor,Patient Care,Medical Coding,Diagnostics,-1.8484122873287385,-0.8992693209131654,0.7202943908413499,-0.9446550721784391
USA,North America,Harvard,Master,Healthcare & Medicine,0.3060703874865941,0.1953289355014875,0.1912516656918011,1.096289050835461,Healthcare,Biomedical Researcher,Patient Care,Diagnostics,Clinical Research,-0.08073060517611315,0.2783855466899206,0.4394152901845927,0.3060703874865941
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Computer Science,-0.9446550721784391,0.4243674293262585,-0.016533785160689332,0.32219620135666205,Technology,AI Researcher,Python,DevOps,Java,1.1430490209295505,-0.7145391456028775,0.3691955150204034,-0.9446550721784391
Argentina,Latin America,University of Buenos Aires,Master,Healthcare & Medicine,-0.0066109774296642075,0.6963506407431714,0.443562570298396,-1.4742218037629138,Healthcare,Medical Doctor,Clinical Research,Diagnostics,Patient Care,0.055244908835627264,-0.44734014202906797,-0.33300223662148976,-0.0066109774296642075
Brazil,Latin America,University of São Paulo,Master,Computer Science,0.9314331173191107,0.8824444169757985,0.8591334720033748,-1.079009842636607,Technology,Data Scientist,DevOps,Cybersecurity,React,1.4829878059589017,0.9942149760172867,-1.0351999882633829,0.9314331173191107
UK,Europe,Oxford,Master,Engineering,-1.2573364370946973,-0.6778803222054465,-0.951568313996892,0.024970676873241348,Manufacturing/Construction,Robotics Engineer,SolidWorks,AutoCAD,Lean Six Sigma,0.5991469648825889,-0.9124643334353288,-0.19256268629311113,-1.2573364370946973
Mexico,Latin America,UNAM,Bachelor,Natural Sciences,1.244114482235369,0.49594195864649904,0.5177716598885709,-1.2129246393818844,Research/Academia,Environmental Scientist,Laboratory Skills,Statistical Analysis,Scientific Writing,0.3951836938649783,0.9909162228867455,-0.19256268629311113,1.244114482235369
India,Asia-Pacific,IIT Delhi,PhD,Healthcare & Medicine,-0.0066109774296642075,1.1687425342567608,1.3637552812165625,-0.8928356130151237,Healthcare,Biomedical Researcher,Clinical Research,Patient Care,Medical Coding,-0.01274284817024294,0.07716160572692825,-1.3160790889201401,-0.0066109774296642075
Germany,Europe,Humboldt University,Bachelor,Natural Sciences,-0.9446550721784391,-1.207531839175227,-1.2929301261116959,-0.7262586707222176,Research/Academia,Physicist,Statistical Analysis,Scientific Writing,Laboratory Skills,-0.08073060517611315,-1.1565720650953522,-0.40322201178567907,-0.9446550721784391
Mexico,Latin America,UNAM,Bachelor,Engineering,-0.3192923423459225,-1.0357529688066494,-0.8922010423247513,-1.2880475741414303,Manufacturing/Construction,Robotics Engineer,Project Management,MATLAB,Lean Six Sigma,-0.6246326612230748,-0.9487506178712782,-0.26278246145730044,-0.3192923423459225
South Africa,Middle East & Africa,University of Cape Town,Master,Business & Finance,-0.0066109774296642075,-1.751498262009055,-1.8717610249150607,-0.8046478200365264,Finance/Consulting,Marketing Manager,Strategic Planning,Financial Modeling,Excel,-0.21670611918785357,0.17282544651261306,1.5629316928116217,-0.0066109774296642075
USA,North America,Stanford,Bachelor,Engineering,1.5567958471516272,0.23827365309363346,0.10220075818359001,0.48224071454004247,Manufacturing/Construction,Robotics Engineer,AutoCAD,Project Management,Lean Six Sigma,1.2110367779354207,1.6473680958643764,-0.9649802130991936,1.5567958471516272
China,Asia-Pacific,Fudan University,Master,Business & Finance,-0.0066109774296642075,-0.6778803222054465,-0.47663014061977255,-0.5629479429840744,Finance/Consulting,Financial Analyst,Strategic Planning,Data Analysis,Market Research,-0.5566449042172046,-0.10426981645281888,1.422492142483243,-0.0066109774296642075
Argentina,Latin America,University of Buenos Aires,PhD,Business & Finance,-1.2573364370946973,0.1953289355014875,0.1912516656918011,-1.274982715922379,Finance/Consulting,Financial Analyst,Excel,Market Research,Strategic Planning,0.19122042284736768,-1.1037920150066984,-0.6841011124424363,-1.2573364370946973
Japan,Asia-Pacific,Kyoto University,PhD,Business & Finance,1.5567958471516272,-0.7065101339335431,-0.20947741809514353,1.2465349203545528,Finance/Consulting,Management Consultant,Financial Modeling,Excel,Data Analysis,0.8710979929060697,1.5978867989062635,-1.948057065397844,1.5567958471516272
Canada,North America,McGill University,PhD,Computer Science,0.9314331173191107,1.1114829108005675,1.4231225528887033,1.5992860922689422,Technology,Cybersecurity Analyst,Java,Python,SQL,2.3668286470352142,0.7633022568794267,0.8607339411697286,0.9314331173191107
USA,North America,Georgia Tech,PhD,Data Science & AI,-0.9446550721784391,1.8129132981389258,1.4231225528887033,1.9781669806214346,Technology/Consulting,NLP Specialist,R,NLP,Data Visualization,-0.7606081752348152,-1.0180244336126363,-1.2458593137559508,-0.9446550721784391
UAE,Middle East & Africa,Khalifa University,Master,Natural Sciences,0.9314331173191107,0.0664947827250557,0.20609348360983523,0.1523530445089931,Research/Academia,Physicist,Statistical Analysis,Laboratory Skills,Scientific Writing,0.8031102359001996,1.0997750761945941,-1.3862988640843295,0.9314331173191107
Sweden,Europe,Karolinska Institute,PhD,Healthcare & Medicine,-0.9446550721784391,1.140112722528664,1.1708116482821083,0.5279677183067225,Healthcare,Biomedical Researcher,Clinical Research,Medical Coding,Patient Care,-1.4404857452935174,-1.1565720650953522,-0.824540662770815,-0.9446550721784391
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Bachelor,Computer Science,1.5567958471516272,1.0828530990724707,1.230178919954249,0.03150310598276708,Technology,Data Scientist,Java,React,Cybersecurity,2.3668286470352142,1.3042977702881269,0.9309537163339179,1.5567958471516272
Switzerland,Europe,EPFL,Bachelor,Data Science & AI,-1.5700178020109556,1.1114829108005675,1.066918922855863,0.6978108751543916,Technology/Consulting,NLP Specialist,Data Visualization,R,NLP,1.00707350691781,-0.9421531116101965,-0.7543208876066256,-1.5700178020109556
Mexico,Latin America,UNAM,Bachelor,Social Sciences,-0.3192923423459225,-0.9928082512145054,-0.8328337706526127,-1.5983379568439027,Government/NGO,Sociologist,Public Policy,Data Analysis,Qualitative Research,-1.304510231281777,-0.9949331616988503,0.3691955150204034,-0.3192923423459225
Sweden,Europe,KTH Royal Institute of Technology,Bachelor,Natural Sciences,0.3060703874865941,0.13806931204529627,0.4287207523803598,-0.474760150005477,Research/Academia,Chemist,Statistical Analysis,Laboratory Skills,Experimental Design,-0.28469387619372377,0.40043941251993237,0.29897573985621406,0.3060703874865941
Netherlands,Europe,TU Delft,PhD,Business & Finance,0.3060703874865941,-1.6942386385528616,-1.7975519353248857,1.1126201236092754,Finance/Consulting,Management Consultant,Market Research,Strategic Planning,Financial Modeling,-1.2365224742759067,0.7501072443572631,-0.0521231359647325,0.3060703874865941
USA,North America,Harvard,Bachelor,Business & Finance,-1.2573364370946973,-0.17685861696376262,-0.016533785160689332,-0.014223897783913033,Finance/Consulting,Marketing Manager,Market Research,Strategic Planning,Financial Modeling,-1.712436773316998,-1.0048294210904727,-0.40322201178567907,-1.2573364370946973
Sweden,Europe,Karolinska Institute,Master,Computer Science,1.5567958471516272,0.2955332765498247,0.2951443911180463,0.5018380018686196,Technology,Cloud Architect,Python,Cybersecurity,Cloud Computing,1.550975562964772,1.1591526325443295,1.2118328169906751,1.5567958471516272
Canada,North America,University of Toronto,PhD,Business & Finance,-0.3192923423459225,-0.36295239319638767,-0.20947741809514353,1.0342309742949667,Finance/Consulting,Investment Banker,Financial Modeling,Data Analysis,Market Research,-1.032559203258296,-0.9157630865658697,-0.40322201178567907,-0.3192923423459225
Japan,Asia-Pacific,University of Tokyo,Master,Natural Sciences,-0.3192923423459225,-0.23411824041995588,0.2506189373639397,-0.5760128012031258,Research/Academia,Environmental Scientist,Laboratory Skills,Scientific Writing,Statistical Analysis,-0.01274284817024294,-0.83989176456343,-0.5436615621140577,-0.3192923423459225
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Engineering,0.9314331173191107,0.4243674293262585,1.0966025586919335,-0.024022541448201627,Manufacturing/Construction,Electrical Engineer,AutoCAD,Lean Six Sigma,MATLAB,1.0750612639236803,0.8754598633178156,-1.2458593137559508,0.9314331173191107
Sweden,Europe,Karolinska Institute,PhD,Business & Finance,0.3060703874865941,-1.5940342975045265,-1.6342919382264998,0.8709202465568234,Finance/Consulting,Management Consultant,Financial Modeling,Market Research,Strategic Planning,0.8710979929060697,0.2816842998204615,0.29897573985621406,0.3060703874865941
Singapore,Asia-Pacific,NTU,Master,Social Sciences,-0.3192923423459225,-0.9355486277583122,-0.31337014352138876,0.15561925906375595,Government/NGO,Policy Analyst,Communication,Public Policy,Data Analysis,0.8031102359001996,-1.0147256804820954,-0.613881337278247,-0.3192923423459225
Brazil,Latin America,University of São Paulo,Bachelor,Healthcare & Medicine,0.3060703874865941,0.36710780587006525,0.07251712234752175,-1.0594125553080298,Healthcare,Pharmacist,Medical Coding,Clinical Research,Patient Care,0.5991469648825889,0.7303147255740181,0.15853618952783544,0.3060703874865941
Israel,Middle East & Africa,Technion,PhD,Computer Science,1.244114482235369,0.16669912377339288,0.2506189373639397,1.7332008890142199,Technology,Cloud Architect,SQL,React,Python,1.2110367779354207,1.2053351763719014,1.0713932666622965,1.244114482235369
USA,North America,Stanford,Master,Healthcare & Medicine,1.5567958471516272,1.7699685805467797,1.4231225528887033,1.7821941073356626,Healthcare,Public Health Specialist,Diagnostics,Patient Care,Clinical Research,0.055244908835627264,1.6473680958643764,0.4394152901845927,1.5567958471516272
Mexico,Latin America,UNAM,Master,Natural Sciences,1.5567958471516272,-0.334322581468291,0.23577711944590557,-1.0006206933222983,Research/Academia,Chemist,Experimental Design,Scientific Writing,Laboratory Skills,0.6671347218884591,1.6473680958643764,-0.33300223662148976,1.5567958471516272
Saudi Arabia,Middle East & Africa,King Abdulaziz University,PhD,Data Science & AI,-1.2573364370946973,1.6983940512265392,1.4231225528887033,0.7762000244687003,Technology/Consulting,NLP Specialist,R,Data Visualization,Machine Learning,0.9390857499119399,-1.0048294210904727,1.422492142483243,-1.2573364370946973
Japan,Asia-Pacific,Kyoto University,Master,Engineering,-0.3192923423459225,-1.665608826824767,-1.471031941128116,-0.52375336832692,Manufacturing/Construction,Robotics Engineer,SolidWorks,AutoCAD,Project Management,-0.4886571472113344,-0.8926718146520837,0.01809663919945681,-0.3192923423459225
India,Asia-Pacific,IIT Bombay,PhD,Natural Sciences,0.9314331173191107,-0.9784933453504561,-0.7883083168985082,-0.9810234059937211,Research/Academia,Biologist,Scientific Writing,Experimental Design,Statistical Analysis,0.6671347218884591,1.3900653516821895,2.124689894125136,0.9314331173191107
Netherlands,Europe,TU Delft,Master,Data Science & AI,1.244114482235369,0.9826487580241337,0.6216643853148139,0.9754391123092351,Technology/Consulting,AI Consultant,Big Data,Deep Learning,R,1.1430490209295505,1.254816473330014,1.0713932666622965,1.244114482235369
USA,North America,UC Berkeley,Master,Healthcare & Medicine,0.6187517524028524,1.3548363104893857,1.4231225528887033,1.2400024912450271,Healthcare,Public Health Specialist,Patient Care,Diagnostics,Clinical Research,-0.21670611918785357,0.7402109849656405,-0.40322201178567907,0.6187517524028524
